Point,Latitude,Longitude
p95,-136.4,-480.6
p96,-119,-497.5
p97,-112.4,-491.3
p98,-72,-530
p99,-79.8,-537.7
p100,-62.4,-553.8
p101,-67.3,-559.4
p102,-61.5,-564.5
p103,-68,-571.3
p104,-90.5,-549
p105,-96,-553.8
p106,-120,-530.6
p107,-114.5,-524.7
p108,-131,-509.6
p109,-125.2,-503.6
p110,-143,-486.4
