Point,Latitude,Longitude
p67,-52,-187.8
p68,-30,-209.5
p69,-23.7,-203
p70,-8.7,-217.2
p71,-16,-223.9
p72,6.8,-245.7
p73,13,-239.7
p74,44,-269.7
p75,36.2,-276.6
p76,65.6,-304.5
p77,72.8,-298
p78,83,-307.7
p79,59.2,-331
p80,50.3,-323
p81,36.2,-335.3
p82,23,-323
p83,16,-329.3
p84,-1.3,-313.4
p85,6.5,-306.2
p86,-9,-292.7
p87,-0.7,-286.4
p88,-22.6,-263.6
p89,-30.6,-269.7
p90,-60.6,-240.6
p91,-52.5,-234
p92,-60.6,-226
p93,-52,-219.5
p94,-69.8,-203.4
