Point,Latitude,Longitude
p1,1.62866,-13.4136
p2,108.826,-119.399
p3,209.65,-179.239
p4,-123.173,-709.999
p5,-225.018,-507.889
p6,-30.0513,-393.164
p7,-111.937,-220.279
